city,population_2020,sumlev,state,county,place,cousub,concit,primgeo_flag,funcstat,stname,estimatesbase2020,popestimate2021,popestimate2022,popestimate2023,size_category,population_rank,region
Cedar Falls,40702,162,19,000,11755,00000,00000,0,A,Iowa,40726,40668,40570,40737,Small City,14,Other
Cedar Rapids,137758,162,19,000,12000,00000,00000,0,A,Iowa,137728,136874,136392,135958,Large City,2,Other
Center Point,2584,162,19,000,12270,00000,00000,0,A,Iowa,2585,2570,2556,2549,Village,134,Other
Centerville,5407,162,19,000,12315,00000,00000,0,A,Iowa,5422,5388,5357,5344,Small Town,77,Other
Central City,1267,162,19,000,12495,00000,00000,0,A,Iowa,1266,1254,1246,1241,Village,224,Other
Centralia,116,162,19,000,12630,00000,00000,0,A,Iowa,116,115,115,117,Village,628,Other
Chariton,4189,162,19,000,12720,00000,00000,0,A,Iowa,4196,4229,4228,4280,Village,99,Other
Charles City,7382,162,19,000,12765,00000,00000,0,A,Iowa,7400,7312,7242,7228,Small Town,56,Other
Charlotte,390,162,19,000,12855,00000,00000,0,A,Iowa,391,393,391,389,Village,453,Other
Charter Oak,532,162,19,000,12900,00000,00000,0,A,Iowa,533,522,518,511,Village,398,Other
Chatsworth,74,162,19,000,12945,00000,00000,0,A,Iowa,74,74,75,74,Village,666,Other
Chelsea,226,162,19,000,12990,00000,00000,0,A,Iowa,227,224,224,220,Village,549,Other
Cherokee,5195,162,19,000,13080,00000,00000,0,A,Iowa,5196,5138,5119,5167,Small Town,81,Other
Chester,136,162,19,000,13125,00000,00000,0,A,Iowa,136,136,136,133,Village,614,Other
Chillicothe,76,162,19,000,13215,00000,00000,0,A,Iowa,76,76,75,78,Village,664,Other
Churdan,365,162,19,000,13350,00000,00000,0,A,Iowa,366,363,360,357,Village,466,Other
Cincinnati,288,162,19,000,13395,00000,00000,0,A,Iowa,289,287,284,283,Village,505,Other
Clare,140,162,19,000,13485,00000,00000,0,A,Iowa,140,140,137,136,Village,612,Other
Clarence,1037,162,19,000,13530,00000,00000,0,A,Iowa,1038,1029,1017,1004,Village,261,Other
Clarinda,5364,162,19,000,13575,00000,00000,0,A,Iowa,5369,5375,5388,5305,Small Town,79,Other
Clarion,2805,162,19,000,13620,00000,00000,0,A,Iowa,2811,2782,2756,2745,Village,126,Other
Clarksville,1261,162,19,000,13755,00000,00000,0,A,Iowa,1262,1259,1244,1243,Village,226,Other
Clayton,46,162,19,000,13845,00000,00000,0,A,Iowa,46,46,46,46,Village,686,Other
Clearfield,278,162,19,000,13980,00000,00000,0,A,Iowa,279,278,278,282,Village,508,Other
Clear Lake,7660,162,19,000,14025,00000,00000,0,A,Iowa,7676,7593,7558,7567,Small Town,51,Other
Cleghorn,239,162,19,000,14115,00000,00000,0,A,Iowa,239,236,233,236,Village,538,Other
Clemons,136,162,19,000,14160,00000,00000,0,A,Iowa,136,135,133,133,Village,614,Other
Clermont,577,162,19,000,14250,00000,00000,0,A,Iowa,579,572,576,571,Village,388,Other
Clinton,24444,162,19,000,14430,00000,00000,0,A,Iowa,24467,24457,24346,24239,Town,20,Other
Clio,66,162,19,000,14475,00000,00000,0,A,Iowa,66,66,66,67,Village,673,Other
Clive,18654,162,19,000,14520,00000,00000,0,A,Iowa,18602,18887,18922,19005,Town,28,Other
Clutier,211,162,19,000,14655,00000,00000,0,A,Iowa,212,209,209,208,Village,556,Other
Coburg,27,162,19,000,14880,00000,00000,0,A,Iowa,27,27,27,27,Village,702,Other
Coggon,703,162,19,000,14925,00000,00000,0,A,Iowa,704,696,692,686,Village,357,Other
Coin,176,162,19,000,14970,00000,00000,0,A,Iowa,176,176,175,172,Village,585,Other
Colesburg,386,162,19,000,15015,00000,00000,0,A,Iowa,387,387,384,383,Village,454,Other
Colfax,2253,162,19,000,15060,00000,00000,0,A,Iowa,2255,2254,2252,2262,Village,150,Other
College Springs,172,162,19,000,15105,00000,00000,0,A,Iowa,172,172,171,169,Village,587,Other
Collins,498,162,19,000,15195,00000,00000,0,A,Iowa,496,503,499,496,Village,412,Other
Colo,847,162,19,000,15240,00000,00000,0,A,Iowa,848,850,845,842,Village,308,Other
Columbus City,386,162,19,000,15375,00000,00000,0,A,Iowa,387,384,382,378,Village,454,Other
Columbus Junction,1830,162,19,000,15420,00000,00000,0,A,Iowa,1834,1810,1788,1771,Village,174,Other
Colwell,58,162,19,000,15465,00000,00000,0,A,Iowa,58,57,57,57,Village,679,Other
Conesville,350,162,19,000,15645,00000,00000,0,A,Iowa,351,348,345,346,Village,476,Other
Conrad,1092,162,19,000,15825,00000,00000,0,A,Iowa,1092,1092,1092,1095,Village,251,Other
Conway,16,162,19,000,15960,00000,00000,0,A,Iowa,16,16,16,16,Village,709,Other
Coon Rapids,1303,162,19,000,16050,00000,00000,0,A,Iowa,1305,1298,1274,1268,Village,220,Other
Coppock,37,162,19,000,16140,00000,00000,0,A,Iowa,37,37,37,36,Village,694,Other
Coralville,22333,162,19,000,16230,00000,00000,0,A,Iowa,22331,22937,23172,23596,Town,25,Other
Corning,1568,162,19,000,16500,00000,00000,0,A,Iowa,1567,1534,1515,1491,Village,195,Other
Correctionville,760,162,19,000,16545,00000,00000,0,A,Iowa,761,750,743,746,Village,332,Other
Corwith,266,162,19,000,16590,00000,00000,0,A,Iowa,267,264,262,260,Village,519,Other
Corydon,1522,162,19,000,16635,00000,00000,0,A,Iowa,1521,1527,1515,1537,Village,202,Other
Cotter,38,162,19,000,16725,00000,00000,0,A,Iowa,38,37,37,37,Village,693,Other
Coulter,219,162,19,000,16815,00000,00000,0,A,Iowa,219,218,216,217,Village,553,Other
Council Bluffs,62790,162,19,000,16860,00000,00000,0,A,Iowa,62792,62580,62322,62399,Medium City,10,Other
Craig,77,162,19,000,16950,00000,00000,0,A,Iowa,77,77,76,76,Village,663,Other
Crawfordsville,277,162,19,000,17130,00000,00000,0,A,Iowa,278,278,277,278,Village,509,Other
Crescent,626,162,19,000,17175,00000,00000,0,A,Iowa,626,626,622,624,Village,376,Other
Cresco,3903,162,19,000,17220,00000,00000,0,A,Iowa,3892,3918,3939,3897,Village,104,Other
Creston,7534,162,19,000,17265,00000,00000,0,A,Iowa,7542,7480,7388,7392,Small Town,54,Other
Cromwell,105,162,19,000,17490,00000,00000,0,A,Iowa,105,104,103,103,Village,638,Other
Crystal Lake,253,162,19,000,17670,00000,00000,0,A,Iowa,254,249,249,244,Village,528,Other
Cumberland,248,162,19,000,17760,00000,00000,0,A,Iowa,248,249,253,250,Village,532,Other
Cumming,432,162,19,000,17850,00000,00000,0,A,Iowa,430,454,485,501,Village,434,Other
Curlew,40,162,19,000,17895,00000,00000,0,A,Iowa,40,39,39,39,Village,691,Other
Cushing,230,162,19,000,17940,00000,00000,0,A,Iowa,230,227,225,223,Village,546,Other
Cylinder,87,162,19,000,17985,00000,00000,0,A,Iowa,87,86,85,85,Village,654,Other
Dakota City,759,162,19,000,18075,00000,00000,0,A,Iowa,759,764,759,756,Village,333,Other
Dallas Center,1909,162,19,000,18255,00000,00000,0,A,Iowa,1904,1925,1954,1966,Village,171,Other
Dana,35,162,19,000,18345,00000,00000,0,A,Iowa,35,35,35,34,Village,696,Other
Danbury,318,162,19,000,18390,00000,00000,0,A,Iowa,319,312,311,311,Village,492,Other
Danville,921,162,19,000,18435,00000,00000,0,A,Iowa,923,912,907,908,Village,288,Other
Davenport,101651,162,19,000,19000,00000,00000,0,A,Iowa,101727,101041,100339,100354,Large City,3,Other
Davis City,177,162,19,000,19090,00000,00000,0,A,Iowa,178,179,180,179,Village,584,Other
Dawson,112,162,19,000,19135,00000,00000,0,A,Iowa,112,112,112,110,Village,632,Other
Dayton,774,162,19,000,19180,00000,00000,0,A,Iowa,774,772,762,759,Village,325,Other
Decatur,176,162,19,000,19315,00000,00000,0,A,Iowa,177,178,178,178,Village,585,Other
Decorah,7578,162,19,000,19405,00000,00000,0,A,Iowa,7583,7600,7614,7578,Small Town,52,Other
Dedham,223,162,19,000,19450,00000,00000,0,A,Iowa,223,222,219,221,Village,550,Other
Deep River,251,162,19,000,19495,00000,00000,0,A,Iowa,251,251,248,249,Village,529,Other
Defiance,247,162,19,000,19585,00000,00000,0,A,Iowa,248,247,243,245,Village,533,Other
Delaware,140,162,19,000,19630,00000,00000,0,A,Iowa,140,140,140,139,Village,612,Other
Delhi,414,162,19,000,19675,00000,00000,0,A,Iowa,413,417,428,432,Village,442,Other
Delmar,544,162,19,000,19720,00000,00000,0,A,Iowa,545,544,538,542,Village,394,Other
Deloit,250,162,19,000,19765,00000,00000,0,A,Iowa,250,246,244,242,Village,530,Other
Delta,261,162,19,000,19855,00000,00000,0,A,Iowa,262,257,257,258,Village,524,Other
Denison,8351,162,19,000,19945,00000,00000,0,A,Iowa,8367,8224,8177,8114,Small Town,47,Other
Denver,1921,162,19,000,20035,00000,00000,0,A,Iowa,1921,1933,1943,1946,Village,169,Other
Derby,88,162,19,000,20125,00000,00000,0,A,Iowa,88,89,89,89,Village,653,Other
Des Moines,213826,162,19,000,21000,00000,00000,0,A,Iowa,214124,212625,211048,210381,Large City,1,Other
De Soto,922,162,19,000,21045,00000,00000,0,A,Iowa,918,931,938,933,Village,287,Other
DeWitt,5517,162,19,000,21180,00000,00000,0,A,Iowa,5515,5533,5522,5587,Small Town,71,Other
Dexter,641,162,19,000,21225,00000,00000,0,A,Iowa,640,643,637,629,Village,370,Other
Diagonal,338,162,19,000,21270,00000,00000,0,A,Iowa,339,337,342,338,Village,484,Other
Dickens,146,162,19,000,21360,00000,00000,0,A,Iowa,147,147,147,147,Village,606,Other
Dike,1300,162,19,000,21405,00000,00000,0,A,Iowa,1300,1299,1296,1298,Village,221,Other
Dixon,203,162,19,000,21540,00000,00000,0,A,Iowa,203,203,202,204,Village,563,Other
Dolliver,66,162,19,000,21675,00000,00000,0,A,Iowa,66,65,64,64,Village,673,Other
Donahue,333,162,19,000,21720,00000,00000,0,A,Iowa,334,334,334,336,Village,487,Other
Donnellson,887,162,19,000,21810,00000,00000,0,A,Iowa,887,884,873,866,Village,298,Other
Doon,618,162,19,000,21900,00000,00000,0,A,Iowa,619,629,638,642,Village,378,Other
Dougherty,63,162,19,000,22080,00000,00000,0,A,Iowa,63,62,62,61,Village,675,Other
Dow City,484,162,19,000,22215,00000,00000,0,A,Iowa,485,477,471,467,Village,416,Other
Dows,525,162,19,000,22305,00000,00000,0,A,Iowa,526,519,513,509,Village,401,Other
Drakesville,164,162,19,000,22350,00000,00000,0,A,Iowa,164,167,167,170,Village,591,Other
Dubuque,59654,162,19,000,22395,00000,00000,0,A,Iowa,59677,59277,58906,58877,Medium City,11,Other
Dumont,636,162,19,000,22620,00000,00000,0,A,Iowa,636,632,624,618,Village,373,Other
Duncombe,379,162,19,000,22755,00000,00000,0,A,Iowa,379,376,372,370,Village,460,Other
Dundee,194,162,19,000,22800,00000,00000,0,A,Iowa,195,195,195,194,Village,570,Other
Dunkerton,839,162,19,000,22845,00000,00000,0,A,Iowa,838,830,829,832,Village,309,Other
Dunlap,1041,162,19,000,22890,00000,00000,0,A,Iowa,1041,1044,1044,1035,Village,260,Other
Durango,22,162,19,000,22935,00000,00000,0,A,Iowa,22,22,21,21,Village,706,Other
Durant,1880,162,19,000,22980,00000,00000,0,A,Iowa,1876,1864,1835,1815,Village,172,Other
Dyersville,4505,162,19,000,23115,00000,00000,0,A,Iowa,4479,4511,4554,4557,Village,95,Other
Dysart,1277,162,19,000,23160,00000,00000,0,A,Iowa,1281,1265,1263,1261,Village,222,Other
Eagle Grove,3601,162,19,000,23250,00000,00000,0,A,Iowa,3607,3589,3569,3566,Village,111,Other
Earlham,1414,162,19,000,23340,00000,00000,0,A,Iowa,1411,1418,1424,1413,Village,210,Other
Earling,394,162,19,000,23385,00000,00000,0,A,Iowa,396,395,390,393,Village,450,Other
Earlville,717,162,19,000,23430,00000,00000,0,A,Iowa,719,720,720,717,Village,352,Other
Early,590,162,19,000,23475,00000,00000,0,A,Iowa,591,588,584,581,Village,385,Other
East Peru,114,162,19,000,23790,00000,00000,0,A,Iowa,114,116,119,118,Village,630,Other
Eddyville,968,162,19,000,23970,00000,00000,0,A,Iowa,971,965,958,958,Village,272,Other
Edgewood,908,162,19,000,24060,00000,00000,0,A,Iowa,909,917,914,910,Village,292,Other
Elberon,182,162,19,000,24375,00000,00000,0,A,Iowa,183,180,180,179,Village,580,Other
Eldon,785,162,19,000,24420,00000,00000,0,A,Iowa,787,782,777,777,Village,323,Other
Eldora,2651,162,19,000,24465,00000,00000,0,A,Iowa,2660,2632,2615,2589,Village,131,Other
Eldridge,6727,162,19,000,24600,00000,00000,0,A,Iowa,6721,6748,6754,6846,Small Town,61,Other
Elgin,686,162,19,000,24645,00000,00000,0,A,Iowa,688,680,678,674,Village,362,Other
Elkader,1213,162,19,000,24690,00000,00000,0,A,Iowa,1214,1209,1206,1197,Village,232,Other
Elkhart,892,162,19,000,24735,00000,00000,0,A,Iowa,882,929,999,1041,Village,296,Other
Elk Horn,601,162,19,000,24780,00000,00000,0,A,Iowa,601,618,626,631,Village,383,Other
Elkport,28,162,19,000,24825,00000,00000,0,A,Iowa,28,28,28,28,Village,701,Other
Elk Run Heights,1067,162,19,000,24870,00000,00000,0,A,Iowa,1069,1064,1056,1055,Village,256,Other
Elliott,339,162,19,000,24915,00000,00000,0,A,Iowa,339,338,333,331,Village,483,Other
Ellston,21,162,19,000,25005,00000,00000,0,A,Iowa,21,21,21,21,Village,707,Other
Ellsworth,506,162,19,000,25050,00000,00000,0,A,Iowa,507,501,495,492,Village,408,Other
Elma,506,162,19,000,25095,00000,00000,0,A,Iowa,505,506,493,490,Village,408,Other
Ely,2333,162,19,000,25365,00000,00000,0,A,Iowa,2325,2348,2337,2335,Village,147,Other
Emerson,396,162,19,000,25500,00000,00000,0,A,Iowa,398,397,396,399,Village,449,Other
Emmetsburg,3696,162,19,000,25590,00000,00000,0,A,Iowa,3698,3670,3629,3623,Village,109,Other
Epworth,2020,162,19,000,25725,00000,00000,0,A,Iowa,2014,2023,2017,2024,Village,162,Other
Essex,724,162,19,000,25815,00000,00000,0,A,Iowa,725,728,728,717,Village,348,Other
Estherville,5869,162,19,000,25860,00000,00000,0,A,Iowa,5900,5856,5814,5823,Small Town,68,Other
Evansdale,4557,162,19,000,25995,00000,00000,0,A,Iowa,4562,4519,4492,4490,Village,93,Other
Everly,573,162,19,000,26175,00000,00000,0,A,Iowa,576,574,575,572,Village,390,Other
Exira,790,162,19,000,26265,00000,00000,0,A,Iowa,789,783,775,763,Village,321,Other
Exline,161,162,19,000,26310,00000,00000,0,A,Iowa,161,160,158,158,Village,594,Other
Fairbank,1108,162,19,000,26355,00000,00000,0,A,Iowa,1108,1114,1119,1128,Village,250,Other
Fairfax,2853,162,19,000,26400,00000,00000,0,A,Iowa,2836,2860,2894,2904,Village,125,Other
Fairfield,9449,162,19,000,26445,00000,00000,0,A,Iowa,9423,9510,9427,9300,Small Town,45,Other
Farley,1767,162,19,000,26760,00000,00000,0,A,Iowa,1769,1747,1722,1722,Village,178,Other
Farmersburg,272,162,19,000,26850,00000,00000,0,A,Iowa,272,272,269,266,Village,513,Other
Farmington,584,162,19,000,26895,00000,00000,0,A,Iowa,583,587,587,589,Village,387,Other
Farnhamville,380,162,19,000,26940,00000,00000,0,A,Iowa,381,378,369,370,Village,459,Other
Farragut,486,162,19,000,26985,00000,00000,0,A,Iowa,489,486,477,478,Village,415,Other
Fayette,1253,162,19,000,27165,00000,00000,0,A,Iowa,1256,1244,1244,1240,Village,229,Other
Fenton,267,162,19,000,27210,00000,00000,0,A,Iowa,268,259,256,253,Village,518,Other
Ferguson,98,162,19,000,27255,00000,00000,0,A,Iowa,98,97,98,98,Village,644,Other
Fertile,306,162,19,000,27390,00000,00000,0,A,Iowa,306,302,299,299,Village,496,Other
Floris,115,162,19,000,27975,00000,00000,0,A,Iowa,115,115,114,114,Village,629,Other
Floyd,311,162,19,000,28020,00000,00000,0,A,Iowa,312,309,306,305,Village,493,Other
Fonda,636,162,19,000,28245,00000,00000,0,A,Iowa,637,633,643,633,Village,373,Other
Fontanelle,683,162,19,000,28290,00000,00000,0,A,Iowa,683,685,676,670,Village,364,Other
Forest City,4266,162,19,000,28380,00000,00000,0,A,Iowa,4275,4266,4276,4272,Village,98,Other
Fort Atkinson,310,162,19,000,28425,00000,00000,0,A,Iowa,311,306,304,301,Village,494,Other
Fort Dodge,24864,162,19,000,28515,00000,00000,0,A,Iowa,24870,25031,24667,24591,Town,19,Other
Fort Madison,10324,162,19,000,28605,00000,00000,0,A,Iowa,10330,10249,10140,10053,Town,40,Other
Fostoria,231,162,19,000,28650,00000,00000,0,A,Iowa,232,232,233,230,Village,545,Other
Franklin,128,162,19,000,28740,00000,00000,0,A,Iowa,128,127,126,127,Village,620,Other
Fraser,102,162,19,000,28920,00000,00000,0,A,Iowa,102,102,103,102,Village,641,Other
Fredericksburg,986,162,19,000,28965,00000,00000,0,A,Iowa,988,986,983,976,Village,269,Other
Frederika,204,162,19,000,29010,00000,00000,0,A,Iowa,204,206,206,206,Village,562,Other
Fredonia,219,162,19,000,29055,00000,00000,0,A,Iowa,219,216,213,211,Village,553,Other
Fremont,697,162,19,000,29190,00000,00000,0,A,Iowa,698,689,688,685,Village,361,Other
Fruitland,959,162,19,000,29280,00000,00000,0,A,Iowa,962,948,934,930,Village,277,Other
Galt,23,162,19,000,29550,00000,00000,0,A,Iowa,23,23,23,22,Village,705,Other
Galva,434,162,19,000,29595,00000,00000,0,A,Iowa,433,429,422,417,Village,432,Other
Garber,80,162,19,000,29685,00000,00000,0,A,Iowa,80,80,80,79,Village,660,Other
Garden Grove,172,162,19,000,29775,00000,00000,0,A,Iowa,173,174,174,174,Village,587,Other
Garnavillo,756,162,19,000,29910,00000,00000,0,A,Iowa,757,760,757,751,Village,335,Other
Garner,3055,162,19,000,29955,00000,00000,0,A,Iowa,3061,3056,3052,3035,Village,120,Other
Garrison,344,162,19,000,30000,00000,00000,0,A,Iowa,345,347,346,344,Village,480,Other
Garwin,483,162,19,000,30045,00000,00000,0,A,Iowa,484,477,477,472,Village,417,Other
Geneva,136,162,19,000,30135,00000,00000,0,A,Iowa,136,135,135,135,Village,614,Other
George,1081,162,19,000,30225,00000,00000,0,A,Iowa,1083,1086,1095,1103,Village,253,Other
Gibson,59,162,19,000,30540,00000,00000,0,A,Iowa,59,58,58,58,Village,678,Other
Gilbert,1207,162,19,000,30630,00000,00000,0,A,Iowa,1209,1234,1258,1331,Village,234,Other
Gilbertville,788,162,19,000,30675,00000,00000,0,A,Iowa,790,787,785,791,Village,322,Other
Gillett Grove,32,162,19,000,30810,00000,00000,0,A,Iowa,32,32,32,32,Village,697,Other
Gilman,544,162,19,000,30900,00000,00000,0,A,Iowa,544,539,531,532,Village,394,Other
Gilmore City,484,162,19,000,30945,00000,00000,0,A,Iowa,484,483,482,478,Village,416,Other
Gladbrook,799,162,19,000,31035,00000,00000,0,A,Iowa,801,789,788,781,Village,318,Other
Glenwood,5047,162,19,000,31350,00000,00000,0,A,Iowa,5073,5075,5130,5175,Small Town,84,Other
Glidden,1152,162,19,000,31395,00000,00000,0,A,Iowa,1154,1159,1154,1150,Village,243,Other
Goldfield,632,162,19,000,31530,00000,00000,0,A,Iowa,634,625,618,614,Village,374,Other
Goodell,142,162,19,000,31575,00000,00000,0,A,Iowa,142,140,140,140,Village,610,Other
Goose Lake,249,162,19,000,31665,00000,00000,0,A,Iowa,249,249,250,251,Village,531,Other
Gowrie,955,162,19,000,31710,00000,00000,0,A,Iowa,955,953,944,935,Village,278,Other
Graettinger,831,162,19,000,31800,00000,00000,0,A,Iowa,832,825,811,813,Village,311,Other
Graf,74,162,19,000,31845,00000,00000,0,A,Iowa,74,73,75,75,Village,666,Other
Grafton,217,162,19,000,31890,00000,00000,0,A,Iowa,217,215,212,212,Village,554,Other
Grand Junction,723,162,19,000,31980,00000,00000,0,A,Iowa,725,718,716,708,Village,349,Other
Grand Mound,618,162,19,000,32025,00000,00000,0,A,Iowa,619,616,614,610,Village,378,Other
Grand River,197,162,19,000,32070,00000,00000,0,A,Iowa,198,199,200,197,Village,569,Other
Grandview,442,162,19,000,32115,00000,00000,0,A,Iowa,443,439,434,429,Village,429,Other
Granger,1724,162,19,000,32160,00000,00000,0,A,Iowa,1698,1889,2001,2038,Village,179,Other
Grant,86,162,19,000,32295,00000,00000,0,A,Iowa,86,86,85,84,Village,655,Other
Granville,311,162,19,000,32475,00000,00000,0,A,Iowa,311,309,305,303,Village,493,Other
Gravity,153,162,19,000,32520,00000,00000,0,A,Iowa,154,153,153,155,Village,600,Other
Gray,61,162,19,000,32565,00000,00000,0,A,Iowa,61,61,62,61,Village,676,Other
Greeley,216,162,19,000,32610,00000,00000,0,A,Iowa,217,217,216,216,Village,555,Other
Greene,993,162,19,000,32745,00000,00000,0,A,Iowa,994,992,982,977,Village,268,Other
Greenfield,2059,162,19,000,32790,00000,00000,0,A,Iowa,2061,2067,2048,2033,Village,157,Other
Greenville,68,162,19,000,32970,00000,00000,0,A,Iowa,68,68,68,68,Village,671,Other
Grimes,15601,162,19,000,33060,00000,00000,0,A,Iowa,15395,15991,16295,16362,Town,31,Other
Grinnell,9538,162,19,000,33105,00000,00000,0,A,Iowa,9553,9555,9521,9473,Small Town,44,Other
Griswold,993,162,19,000,33150,00000,00000,0,A,Iowa,994,989,992,991,Village,268,Other
Grundy Center,2805,162,19,000,33195,00000,00000,0,A,Iowa,2802,2811,2803,2806,Village,126,Other
Gruver,64,162,19,000,33240,00000,00000,0,A,Iowa,64,63,62,62,Village,674,Other
Guernsey,63,162,19,000,33285,00000,00000,0,A,Iowa,63,63,62,61,Village,675,Other
Guthrie Center,1583,162,19,000,33420,00000,00000,0,A,Iowa,1588,1572,1578,1579,Village,193,Other
Guttenberg,1814,162,19,000,33465,00000,00000,0,A,Iowa,1816,1819,1818,1808,Village,175,Other
Halbur,273,162,19,000,33645,00000,00000,0,A,Iowa,274,273,269,268,Village,512,Other
Hamburg,888,162,19,000,33780,00000,00000,0,A,Iowa,893,886,873,868,Village,297,Other
Hamilton,125,162,19,000,33870,00000,00000,0,A,Iowa,125,125,127,127,Village,622,Other
Hampton,4329,162,19,000,33960,00000,00000,0,A,Iowa,4338,4309,4306,4272,Village,96,Other
Hancock,199,162,19,000,34005,00000,00000,0,A,Iowa,199,197,198,198,Village,567,Other
Hanlontown,208,162,19,000,34185,00000,00000,0,A,Iowa,208,206,204,202,Village,559,Other
Hansell,83,162,19,000,34365,00000,00000,0,A,Iowa,83,83,83,82,Village,658,Other
Harcourt,264,162,19,000,34410,00000,00000,0,A,Iowa,264,263,257,255,Village,521,Other
Hardy,54,162,19,000,34455,00000,00000,0,A,Iowa,54,54,54,53,Village,681,Other
Harlan,4898,162,19,000,34500,00000,00000,0,A,Iowa,4896,4904,4861,4891,Village,88,Other
Harper,117,162,19,000,34545,00000,00000,0,A,Iowa,117,116,116,116,Village,627,Other
Harpers Ferry,261,162,19,000,34590,00000,00000,0,A,Iowa,260,262,265,270,Village,524,Other
Harris,151,162,19,000,34635,00000,00000,0,A,Iowa,151,151,148,144,Village,601,Other
Hartford,733,162,19,000,34680,00000,00000,0,A,Iowa,733,730,727,725,Village,343,Other
Hartley,1600,162,19,000,34725,00000,00000,0,A,Iowa,1606,1581,1578,1570,Village,191,Other
Hartwick,92,162,19,000,34770,00000,00000,0,A,Iowa,92,91,90,90,Village,649,Other
Harvey,236,162,19,000,34860,00000,00000,0,A,Iowa,236,237,237,239,Village,541,Other
Hastings,155,162,19,000,34995,00000,00000,0,A,Iowa,156,156,156,157,Village,598,Other
Havelock,128,162,19,000,35130,00000,00000,0,A,Iowa,128,128,128,125,Village,620,Other
Haverhill,166,162,19,000,35220,00000,00000,0,A,Iowa,166,164,163,163,Village,590,Other
Hawarden,2697,162,19,000,35265,00000,00000,0,A,Iowa,2699,2680,2664,2644,Village,128,Other
Hawkeye,437,162,19,000,35310,00000,00000,0,A,Iowa,438,431,431,429,Village,431,Other
Hayesville,44,162,19,000,35445,00000,00000,0,A,Iowa,44,44,43,44,Village,688,Other
Hazleton,711,162,19,000,35580,00000,00000,0,A,Iowa,710,713,712,710,Village,355,Other
Hedrick,731,162,19,000,35670,00000,00000,0,A,Iowa,732,722,721,722,Village,345,Other
Henderson,140,162,19,000,35715,00000,00000,0,A,Iowa,141,141,141,140,Village,612,Other
Hiawatha,7186,162,19,000,35940,00000,00000,0,A,Iowa,7184,7156,7155,7219,Small Town,58,Other
Hills,866,162,19,000,36345,00000,00000,0,A,Iowa,860,897,916,910,Village,304,Other
Hillsboro,161,162,19,000,36390,00000,00000,0,A,Iowa,161,160,159,157,Village,594,Other
Hinton,934,162,19,000,36480,00000,00000,0,A,Iowa,934,945,952,955,Village,282,Other
Holland,269,162,19,000,36705,00000,00000,0,A,Iowa,269,269,268,266,Village,516,Other
Holstein,1504,162,19,000,36840,00000,00000,0,A,Iowa,1499,1497,1486,1475,Village,203,Other
Holy Cross,360,162,19,000,36885,00000,00000,0,A,Iowa,360,356,350,348,Village,470,Other
Hopkinton,622,162,19,000,37155,00000,00000,0,A,Iowa,621,626,624,624,Village,377,Other
Hornick,255,162,19,000,37200,00000,00000,0,A,Iowa,256,252,251,251,Village,526,Other
Hospers,719,162,19,000,37290,00000,00000,0,A,Iowa,720,714,711,706,Village,351,Other
Houghton,139,162,19,000,37335,00000,00000,0,A,Iowa,139,138,137,136,Village,613,Other
Hubbard,859,162,19,000,37425,00000,00000,0,A,Iowa,861,850,845,837,Village,306,Other
Hudson,2543,162,19,000,37470,00000,00000,0,A,Iowa,2543,2609,2626,2772,Village,135,Other
Hull,2378,162,19,000,37515,00000,00000,0,A,Iowa,2378,2415,2419,2432,Village,144,Other
Humboldt,4788,162,19,000,37560,00000,00000,0,A,Iowa,4788,4807,4726,4723,Village,89,Other
Humeston,466,162,19,000,37605,00000,00000,0,A,Iowa,465,468,465,470,Village,423,Other
Huxley,4313,162,19,000,37920,00000,00000,0,A,Iowa,4250,4479,4553,4634,Village,97,Other
Ida Grove,2058,162,19,000,38010,00000,00000,0,A,Iowa,2053,2038,2016,1990,Village,158,Other
Imogene,39,162,19,000,38055,00000,00000,0,A,Iowa,39,39,38,38,Village,692,Other
Independence,6089,162,19,000,38100,00000,00000,0,A,Iowa,6064,6168,6175,6188,Small Town,65,Other
Indianola,15861,162,19,000,38280,00000,00000,0,A,Iowa,15834,15942,16047,16043,Town,29,Other
Inwood,927,162,19,000,38415,00000,00000,0,A,Iowa,928,935,945,957,Village,283,Other
Ionia,228,162,19,000,38460,00000,00000,0,A,Iowa,228,225,221,219,Village,548,Other
Iowa City,74916,162,19,000,38595,00000,00000,0,A,Iowa,74825,75191,75835,75678,Medium City,5,Other
Iowa Falls,5087,162,19,000,38640,00000,00000,0,A,Iowa,5103,5042,5045,5002,Small Town,82,Other
Ireton,587,162,19,000,38820,00000,00000,0,A,Iowa,588,583,585,578,Village,386,Other
Irwin,322,162,19,000,39000,00000,00000,0,A,Iowa,323,320,318,320,Village,490,Other
Jackson Junction,37,162,19,000,39135,00000,00000,0,A,Iowa,37,37,40,39,Village,694,Other
Jamaica,194,162,19,000,39225,00000,00000,0,A,Iowa,194,194,195,196,Village,570,Other
Janesville,1041,162,19,000,39405,00000,00000,0,A,Iowa,1040,1046,1052,1051,Village,260,Other
Jefferson,4180,162,19,000,39450,00000,00000,0,A,Iowa,4182,4163,4157,4100,Village,100,Other
Jesup,2513,162,19,000,39585,00000,00000,0,A,Iowa,2510,2526,2521,2537,Village,136,Other
Jewell Junction,1208,162,19,000,39675,00000,00000,0,A,Iowa,1211,1195,1185,1183,Village,233,Other
