city,population_2020,sumlev,state,county,place,cousub,concit,primgeo_flag,funcstat,stname,estimatesbase2020,popestimate2021,popestimate2022,popestimate2023,size_category,population_rank,region
Victor,873,162,19,000,80805,00000,00000,0,A,Iowa,874,865,858,852,Village,301,Other
Villisca,1129,162,19,000,80985,00000,00000,0,A,Iowa,1128,1125,1118,1113,Village,245,Other
Vincent,129,162,19,000,81075,00000,00000,0,A,Iowa,129,129,127,124,Village,619,Other
Vining,53,162,19,000,81120,00000,00000,0,A,Iowa,53,52,52,52,Village,682,Other
Vinton,4925,162,19,000,81210,00000,00000,0,A,Iowa,4936,4954,4946,4951,Village,86,Other
Volga,203,162,19,000,81345,00000,00000,0,A,Iowa,203,203,202,201,Village,563,Other
Wadena,207,162,19,000,81570,00000,00000,0,A,Iowa,208,205,205,204,Village,560,Other
Wahpeton,347,162,19,000,81615,00000,00000,0,A,Iowa,345,348,346,341,Village,479,Other
Walcott,1556,162,19,000,81705,00000,00000,0,A,Iowa,1557,1550,1548,1549,Village,197,Other
Walford,1364,162,19,000,81840,00000,00000,0,A,Iowa,1367,1368,1358,1355,Village,216,Other
Walker,684,162,19,000,81885,00000,00000,0,A,Iowa,685,678,671,668,Village,363,Other
Wallingford,163,162,19,000,81975,00000,00000,0,A,Iowa,164,163,156,156,Village,592,Other
Wall Lake,751,162,19,000,82020,00000,00000,0,A,Iowa,753,750,748,748,Village,336,Other
Walnut,741,162,19,000,82065,00000,00000,0,A,Iowa,741,734,729,725,Village,341,Other
Wapello,2083,162,19,000,82200,00000,00000,0,A,Iowa,2085,2062,2034,2013,Village,154,Other
Washington,7346,162,19,000,82335,00000,00000,0,A,Iowa,7361,7299,7273,7252,Small Town,57,Other
Washta,208,162,19,000,82380,00000,00000,0,A,Iowa,208,206,205,205,Village,559,Other
Waterloo,67275,162,19,000,82425,00000,00000,0,A,Iowa,67319,66897,66525,66606,Medium City,8,Other
Waterville,109,162,19,000,82470,00000,00000,0,A,Iowa,109,109,109,111,Village,635,Other
Waucoma,229,162,19,000,82650,00000,00000,0,A,Iowa,230,227,228,227,Village,547,Other
Waukee,24380,162,19,000,82695,00000,00000,0,A,Iowa,23961,26501,29181,31645,Town,21,Other
Waukon,3825,162,19,000,82740,00000,00000,0,A,Iowa,3826,3781,3769,3777,Village,106,Other
Waverly,10411,162,19,000,82875,00000,00000,0,A,Iowa,10395,10442,10520,10561,Town,39,Other
Wayland,960,162,19,000,82965,00000,00000,0,A,Iowa,962,961,950,947,Village,276,Other
Webb,140,162,19,000,83010,00000,00000,0,A,Iowa,141,141,139,139,Village,612,Other
Webster,96,162,19,000,83055,00000,00000,0,A,Iowa,96,95,95,95,Village,646,Other
Webster City,7815,162,19,000,83145,00000,00000,0,A,Iowa,7828,7745,7747,7713,Small Town,50,Other
Weldon,136,162,19,000,83190,00000,00000,0,A,Iowa,137,138,138,138,Village,614,Other
Wellman,1523,162,19,000,83280,00000,00000,0,A,Iowa,1524,1523,1519,1516,Village,201,Other
Wellsburg,722,162,19,000,83325,00000,00000,0,A,Iowa,722,720,718,716,Village,350,Other
Welton,128,162,19,000,83370,00000,00000,0,A,Iowa,128,128,127,127,Village,620,Other
Wesley,392,162,19,000,83415,00000,00000,0,A,Iowa,393,385,381,380,Village,452,Other
West Bend,791,162,19,000,83550,00000,00000,0,A,Iowa,792,788,776,775,Village,320,Other
West Branch,2510,162,19,000,83595,00000,00000,0,A,Iowa,2506,2552,2645,2754,Village,137,Other
West Burlington,3197,162,19,000,83685,00000,00000,0,A,Iowa,3200,3183,3164,3161,Village,117,Other
West Chester,145,162,19,000,83775,00000,00000,0,A,Iowa,145,146,145,147,Village,607,Other
West Des Moines,68919,162,19,000,83910,00000,00000,0,A,Iowa,68728,69917,70757,72205,Medium City,6,Other
Westfield,121,162,19,000,84090,00000,00000,0,A,Iowa,121,120,120,120,Village,625,Other
Westgate,191,162,19,000,84180,00000,00000,0,A,Iowa,192,190,191,190,Village,573,Other
West Liberty,3851,162,19,000,84315,00000,00000,0,A,Iowa,3860,3817,3744,3728,Village,105,Other
West Okoboji,307,162,19,000,84450,00000,00000,0,A,Iowa,304,311,311,308,Village,495,Other
Westphalia,131,162,19,000,84540,00000,00000,0,A,Iowa,132,132,133,134,Village,617,Other
West Point,924,162,19,000,84585,00000,00000,0,A,Iowa,924,916,914,909,Village,286,Other
Westside,287,162,19,000,84630,00000,00000,0,A,Iowa,288,283,279,277,Village,506,Other
West Union,2476,162,19,000,84765,00000,00000,0,A,Iowa,2484,2456,2442,2432,Village,140,Other
Westwood,104,162,19,000,84835,00000,00000,0,A,Iowa,104,103,102,100,Village,639,Other
What Cheer,605,162,19,000,84900,00000,00000,0,A,Iowa,606,597,597,597,Village,381,Other
Wheatland,774,162,19,000,84945,00000,00000,0,A,Iowa,775,772,771,763,Village,325,Other
Whiting,744,162,19,000,85215,00000,00000,0,A,Iowa,745,734,726,727,Village,340,Other
Whittemore,496,162,19,000,85260,00000,00000,0,A,Iowa,497,484,483,479,Village,414,Other
Whitten,101,162,19,000,85305,00000,00000,0,A,Iowa,101,100,99,98,Village,642,Other
Willey,72,162,19,000,85710,00000,00000,0,A,Iowa,72,72,71,71,Village,668,Other
Williams,306,162,19,000,85800,00000,00000,0,A,Iowa,307,303,299,298,Village,496,Other
Williamsburg,3355,162,19,000,85845,00000,00000,0,A,Iowa,3351,3365,3364,3351,Village,114,Other
Williamson,118,162,19,000,85935,00000,00000,0,A,Iowa,118,121,123,125,Village,626,Other
Wilton,2919,162,19,000,86070,00000,00000,0,A,Iowa,2925,2893,2938,2930,Village,122,Other
Windsor Heights,5239,162,19,000,86250,00000,00000,0,A,Iowa,5256,5186,5113,5067,Small Town,80,Other
Winfield,1029,162,19,000,86385,00000,00000,0,A,Iowa,1031,1023,1020,1014,Village,264,Other
Winterset,5379,162,19,000,86520,00000,00000,0,A,Iowa,5355,5403,5452,5374,Small Town,78,Other
